公司地址,所属区域,所属街道,工作经验,招聘学历,招聘职位,薪资范围,公司名称,服务范围,融资状态,公司规模,联系人,联系人职位
北京,,,3-5年,本科,Python后端研发工程师,20-30K,LBE TECH,移动互联网,C轮,100-499人,苑女士,HR
北京,朝阳区,三元桥,1-3年,本科,初级Python工程师,12-23K,S先生,互联网,A轮,20-99人,HR,HR
北京,海淀区,中关村,5-10年,本科,兼职---python讲师,8-10K,课工场,在线教育,不需要融资,20-99人,武女士,大咖运营专员
北京,昌平区,回龙观,5-10年,本科,人工智能+python课程研究员(J11689),40-60K,传智播客,在线教育,不需要融资,1000-9999人,李女士,人事专员
北京,海淀区,苏州街,3-5年,本科,少儿编程教研python,20-40K,好未来,互联网,已上市,10000人以上,康女士,技术负责人
北京,昌平区,北七家,3-5年,大专,python+人工智能AI讲师,30-35K,传智播客,在线教育,不需要融资,1000-9999人,袁女士,人事专员
北京,朝阳区,团结湖,3-5年,本科,后端开发工程师（python方向）,20-35K,闪银奇异,移动互联网,D轮及以上,1000-9999人,王女士,招聘
北京,朝阳区,十里堡,3-5年,本科,高级python开发工程师,13-14K,美腾易通,移动互联网,,0-20人,张先生,ceo
北京,海淀区,西北旺,1-3年,本科,Python开发工程师-计算平台 ,15-30K,Aibee,互联网,A轮,100-499人,高女士,HR
北京,朝阳区,亮马桥,3-5年,本科,高级Python开发,20-40K·14薪,摩尔妈妈,移动互联网,A轮,20-99人,胡先生,技术经理
北京,石景山区,鲁谷,1-3年,本科,后端Django(Python)工程师,10-15K,安和瑞福,互联网,天使轮,20-99人,杨先生,招聘者
北京,海淀区,知春路,3-5年,本科,高级 Python 后端工程师,20-40K,启明合心,数据服务,B轮,20-99人,王先生,联合创始人
北京,,,3-5年,本科,Python开发工程师(安全类),15-30K,金睛云华,信息安全,A轮,20-99人,韩女士,招聘者
北京,海淀区,五道口,5-10年,本科,高级python开发工程师,30-45K·13薪,志翔科技,信息安全,C轮,100-499人,邢先生,招聘者
北京,海淀区,五道口,3-5年,本科,Java/Python高级开发工程师,25-35K·15薪,搜狗,互联网,已上市,1000-9999人,陈先生,资深高级开发工程师
北京,海淀区,上地,5-10年,大专,python（兼职讲师）开发,30-60K,自兴信息,数据服务,未融资,100-499人,张先生,招聘者
北京,通州区,北关,3-5年,本科,python高级开发,18-25K,中谷金科,互联网,B轮,20-99人,龚女士,HR
北京,朝阳区,国贸,5-10年,大专,Python开发工程师,15-25K,北京中德福林,计算机软件,未融资,20-99人,张女士,人事专员
北京,海淀区,中关村,3-5年,本科,测试工程师（自动化python语言）,10-15K,华正明天,计算机软件,已上市,100-499人,王女士,招聘专员
北京,朝阳区,国贸,3-5年,本科,python量化程序员,15-30K,通证科技,互联网,B轮,20-99人,仇先生,HR
北京,海淀区,中关村,3-5年,本科,Python研发工程师,13-18K·14薪,颐邦科技(EBOND),医疗设备/器械,不需要融资,20-99人,王女士,人力专员
北京,朝阳区,大望路,3-5年,本科,Python 开发工程师,20-40K,罗辑思维,互联网,B轮,100-499人,杨先生,招聘者
北京,海淀区,清河,应届生,本科,Python开发工程师,4-9K,汇力凯途,企业服务,未融资,20-99人,胡先生,项目经理
北京,海淀区,中关村,经验不限,学历不限,python后台开发,20-40K,SmartX,企业服务,B轮,20-99人,杨女士,HR
北京,海淀区,五道口,3-5年,本科,Python高级爬虫开发工程师,25-35K·15薪,搜狗,互联网,已上市,1000-9999人,陈先生,资深高级开发工程师
北京,朝阳区,三里屯,3-5年,本科,python高级开发工程师,14-25K,北京初见科技,游戏,C轮,100-499人,朱女士,招聘主管
北京,朝阳区,望京,3-5年,本科,Python开发工程师,20-40K,Castbox,移动互联网,B轮,20-99人,王女士,招聘助理
北京,昌平区,天通苑,1-3年,本科,python实训讲师,10-15K,光环国际,在线教育,已上市,500-999人,冯女士,HR
北京,石景山区,八宝山,1-3年,本科,python研发工程师(容器云方向),18-28K,光大科技,互联网金融,不需要融资,100-499人,张先生,团队主管
北京,海淀区,知春路,5天/周,3个月,Python开发实习生,140-180/天,杭州航弈生物科技,医疗设备/器械,天使轮,20-99人,黄先生,行政主管
北京,朝阳区,朝外,3-5年,本科,Python(北京）,18-36K,蜻蜓FM,互联网,D轮及以上,100-499人,常女士,HRBP
北京,朝阳区,望京,3-5年,本科,"服务端开发工程师（golang,c++,python)",25-45K,映客直播,移动互联网,已上市,500-999人,吴女士,招聘主管
北京,朝阳区,国贸,3-5年,本科,Java/Python开发工程师,15-30K,牛交所,互联网金融,B轮,20-99人,苏先生,招聘者
北京,朝阳区,朝阳公园,1-3年,本科,高级Python开发工程师／爬虫／Spider,12-24K,智线云,移动互联网,A轮,20-99人,何女士,高级人事经理
北京,海淀区,西北旺,3-5年,本科,Python开发工程师,16-22K,领途教育,在线教育,A轮,20-99人,刘先生,招聘者
北京,海淀区,清河,5-10年,本科,Python高级开发工程师（五年以下非高级勿投）,12-20K,多牛传媒,广告营销,已上市,500-999人,付先生,招聘者
北京,海淀区,牡丹园,5-10年,本科,资深后端开发工程师（Python),28-50K·13薪,GeneDock,医疗健康,B轮,20-99人,曹女士,招聘经理&HRBP
北京,海淀区,五道口,3-5年,本科,Python 开发工程师,20-40K,感易智能,计算机软件,A轮,20-99人,胡先生,CEO
北京,朝阳区,望京,1-3年,本科,Python工程师-机器学习方向,20-35K,曜辉科技,互联网,未融资,0-20人,吴女士,CEO
北京,房山区,阎村,5-10年,大专,Python 数据分析/人工智能讲师,18-35K,北网,在线教育,未融资,500-999人,史女士,人事
北京,房山区,长阳,经验不限,学历不限,Python后端开发工程师,6-8K,三门课科技,人力资源服务,未融资,0-20人,帅先生,招聘者
北京,丰台区,北大地,1-3年,大专,python讲师(兼职),15-25K,深圳市领讯云智能,培训机构,,0-20人,刘先生,ceo
北京,海淀区,知春路,3-5年,本科,高级Python后台软件工程师,15-30K·14薪,阿丘科技,企业服务,B轮,20-99人,陈女士,HRD
北京,海淀区,五道口,1-3年,本科,Python全栈开发工程师,15-25K,财富引擎,计算机软件,A轮,20-99人,高女士,人事行政主管
北京,朝阳区,望京,经验不限,本科,Python 高级软件工程师,18-36K,汉升链商,电子商务,A轮,20-99人,李先生,首席架构师
北京,海淀区,中关村,1-3年,本科,Java/Python开发工程师,9-14K,闯天路,互联网,,20-99人,陈先生,招聘者
北京,朝阳区,酒仙桥,经验不限,本科,Python开发实习生,2-4K,视觉互联,移动互联网,,0-20人,杨先生,CEO
北京,海淀区,苏州街,经验不限,本科,少儿编程python课程设计师 (MJ000026),15-30K·13薪,聪明核桃教育,在线教育,A轮,500-999人,王女士,招聘主管
北京,朝阳区,望京,3-5年,本科,课程设计（scratch/python）,20-30K·13薪,WeCode,在线教育,A轮,20-99人,薛女士,人力资源经理
北京,海淀区,西二旗,1-3年,本科,软件测试工程师（C++、java、python）,10-15K,捷通华声,互联网,已上市,100-499人,刘女士,招聘者
北京,朝阳区,亮马桥,3-5年,本科,Python开发工程师,15-25K,北京大渔,在线教育,未融资,20-99人,高女士,人事主管
北京,朝阳区,朝阳公园,3-5年,本科,高级Python开发工程师,12-24K,智线云,移动互联网,A轮,20-99人,何女士,高级人事经理
北京,海淀区,上地,1-3年,本科,Python图像算法开发人员,10-15K,北京动力天下科技发展有限公司,计算机软件,未融资,0-20人,陈先生,招聘者
北京,东城区,安定门,1年以内,本科,Python,20-40K,民生科技,互联网金融,不需要融资,1000-9999人,张先生,总监
北京,海淀区,中关村,3-5年,本科,Python全栈工程师,35-40K,重庆正琪创亿科技...,数据服务,,20-99人,候先生,招聘者
北京,海淀区,中关村,1-3年,本科,Python开发工程师,13-26K,SURVEY,电子商务,,100-499人,张女士,hr
北京,朝阳区,望京,5天/周,3个月,Python课研实习生,150-200/天,WeCode,在线教育,A轮,20-99人,薛女士,人力资源经理
北京,朝阳区,酒仙桥,3-5年,本科,Python架构师/高级开发工程师 (MJ000395),20-35K,乐学在线,移动互联网,C轮,1000-9999人,刘女士,HR
北京,朝阳区,小营,3-5年,本科,python全栈工程师,30-50K,北京龙归科技有限...,企业服务,,0-20人,尹先生,招聘者
北京,海淀区,马连洼,1-3年,本科,搜索测试开发工程师（Python开发测试框架）,20-35K,新浪网,互联网,已上市,1000-9999人,冯女士,hrbp
北京,海淀区,中关村,1年以内,大专,Android   Python   少儿编程讲师,4-8K,北京乐博乐博,在线教育,已上市,1000-9999人,王先生,教学组长
北京,海淀区,中关村,3-5年,本科,高级python开发工程师,22-28K,重庆正琪创亿科技...,数据服务,,20-99人,候先生,招聘者
北京,海淀区,中关村,5-10年,本科,Python高级开发工程师,20-28K,旷视MEGVII,计算机服务,C轮,1000-9999人,刘女士,招聘者HRBP
北京,朝阳区,十里堡,1-3年,本科,初级python开发工程师,9-14K,美腾易通,移动互联网,,0-20人,张先生,ceo
北京,通州区,九棵树,1-3年,大专,swift playgrounds，Python儿童编程培训老师,6-12K,阶跃创想教育科技,在线教育,未融资,20-99人,侯先生,总经理
北京,海淀区,上地,3-5年,本科,北京Python,13-20K,码博科技,计算机软件,不需要融资,20-99人,马先生,总工程师
北京,大兴区,次渠,3-5年,本科,Python自动化运维开发,20-40K,京东数字科技,互联网,B轮,1000-9999人,高先生,招聘者
北京,朝阳区,百子湾,1-3年,本科,python课程设计师,12-16K,小栈教育,培训机构,未融资,20-99人,龙先生,hr
北京,东城区,北新桥,3-5年,本科,高级python工程师,20-35K·15薪,松鼠拼拼,移动互联网,B轮,1000-9999人,杨先生,招聘者
北京,海淀区,中关村,3-5年,本科,Python开发工程师,25-50K,旷视MEGVII,计算机服务,C轮,1000-9999人,尹先生,人力资源总监
北京,海淀区,中关村,3-5年,本科,PaaS平台高级工程师（Python）,25-50K,旷视MEGVII,计算机服务,C轮,1000-9999人,尹先生,人力资源总监
北京,海淀区,四季青,3-5年,本科,高级Python研发工程师,15-30K,烽台科技,信息安全,A轮,20-99人,周先生,招聘者
北京,海淀区,五道口,1-3年,本科,python后台开发工程师,15-24K·14薪,阿凡题,移动互联网,C轮,100-499人,李先生,联合创始人&CTO
北京,海淀区,中关村,3-5年,本科,Python运维工程师,15-20K,旷视MEGVII,计算机服务,C轮,1000-9999人,刘女士,招聘者HRBP
北京,朝阳区,望京,3-5年,本科,Python高级开发工程师,30-60K,忽客时代（北京）...,移动互联网,不需要融资,100-499人,武先生,招聘者
北京,朝阳区,团结湖,1-3年,本科,Python后端开发工程师,12-20K,智见传媒,媒体,不需要融资,20-99人,田先生,产品运营总监
北京,海淀区,四季青,1-3年,本科,python研发工程师,8-15K,烽台科技,信息安全,A轮,20-99人,李女士,行政
北京,朝阳区,太阳宫,3-5年,本科,Python开发工程师,20-35K,老虎集团,互联网,已上市,100-499人,南先生,招聘者
北京,昌平区,回龙观,3-5年,本科,Python后端主程,15-25K,萌果科技,游戏,A轮,0-20人,罗先生,招聘者
北京,海淀区,学院路,1-3年,本科,Python,8-16K,芽芽科技,互联网,天使轮,0-20人,常先生,CEO
北京,海淀区,木樨地,经验不限,学历不限,python开发工程师,12-20K,北京布谷鸟航空,电子商务,未融资,100-499人,叶先生,副总经理
北京,昌平区,沙河,3-5年,本科,Python开发工程师,11-22K,联创信安,计算机软件,已上市,100-499人,孟女士,人力资源经理
北京,东城区,东直门,3-5年,本科,Python后端开发工程师,25-40K,客知音,计算机软件,A轮,20-99人,王女士,HRM
北京,海淀区,五道口,3-5年,本科,python高级开发工程师,25-35K,阿凡题,移动互联网,C轮,100-499人,李先生,联合创始人&CTO
北京,海淀区,西北旺,1-3年,本科,Python,20-40K,Aibee,互联网,A轮,100-499人,林先生,架构师
北京,海淀区,动物园,3-5年,本科,python开发工程师--北京,7-12K,中讯设计,通信/网络设备,已上市,1000-9999人,吴先生,招聘者
北京,海淀区,中关村,3-5年,本科,中高级Java Web/Python开发工程师,12-20K,微芯研究院,非盈利机构,不需要融资,20-99人,张女士,人力资源主管
北京,海淀区,中关村,1-3年,本科,Python,10-20K,清扬易达科技,互联网,,0-20人,姜先生,创始人
北京,朝阳区,望京,3-5年,本科,Python,25-35K,映客直播,移动互联网,已上市,500-999人,付先生,架构师
