company_name,company_name_short,position_name,workYear,education,jobNature,salary,city,financeStage,industryField,positionAdvantage,companyLabelList,district,positionLables,businessZones,firstType,secondType,thirdType
深圳市易博天下科技有限公司,易博天下,资深Python开发工程师,5-10年,大专,全职,20k-28k,深圳,上市公司,"移动互联网,消费生活",平台好，上市公司，周末双休，高速增长,"年底双薪, 股票期权, 带薪年假, 创业公司范儿",南山区,"企业服务, 大数据, 后端, 服务器端",,开发|测试|运维类,后端开发,"后端, 服务器端"
亿达信息技术（深圳）有限公司,YIDATEC,python开发,3-5年,大专,全职,12k-18k,深圳,不需要融资,"移动互联网,游戏",技术大牛,,宝安区,Python,新安,开发|测试|运维类,后端开发,Python
信迪网络资讯有限公司,信迪网络资讯有限公司,python开发工程师,1-3年,大专,全职,10k-16k,深圳,不需要融资,"移动互联网,社交",项目前景好，团队氛围棒,"年底双薪, 带薪年假, 弹性工作, 领导好",南山区,"后端, 中间件, Python, 数据库",,开发|测试|运维类,后端开发,"后端, 中间件, Python, 数据库"
深圳知云网络科技有限公司,深圳知云网络科技有限公司,python工程师,5-10年,不限,全职,30k-40k,深圳,未融资,企业服务,"集团背景,晋升空间大,15薪,集团股权","专项奖金, 带薪年假, 弹性工作, 扁平管理",南山区,"后端, Python","西丽, 科技园",开发|测试|运维类,后端开发,"后端, Python"
深圳云天励飞技术有限公司,云天励飞,Python开发工程师(J10047),3-5年,不限,全职,15k-25k,深圳,B轮,人工智能,人工智能,"节日礼物, 带薪年假, 年度旅游, 开放务实",福田区,后端,,开发|测试|运维类,后端开发,后端
平安科技（深圳）有限公司,平安科技,112145-资深容器python开发,5-10年,本科,全职,15k-30k,深圳,不需要融资,金融,"五险一金,绩效奖金","六险一金, 扁平化管理, 丰厚年终, 丰富技术交流",南山区,"云计算, Python, 云计算, docker","科技园, 南山医院, 大冲",开发|测试|运维类,后端开发,"Python, 云计算, docker"
深圳市文德数慧科技开发有限责任公司,文德数慧,python开发工程师,1-3年,大专,全职,15k-20k,深圳,不需要融资,企业服务,公司招聘岗位比较多样，提升个人综合能力,"年底双薪, 专项奖金, 年终分红, 带薪年假",南山区,Python,"西丽, 大冲, 科技园",开发|测试|运维类,后端开发,Python
微诺（深圳）科技有限公司,微诺,Python/Golang开发工程师,3-5年,本科,全职,15k-30k,深圳,不需要融资,移动互联网,"交通便利,团队活泼,薪资优厚,腾讯系","带薪年假, 定期体检, 扁平管理",宝安区,"金融, Python, Golang",新安,开发|测试|运维类,后端开发,"Python, Golang"
深圳安巽科技有限公司,网络安全服务商,python开发工程师,1-3年,本科,全职,10k-20k,深圳,不需要融资,信息安全,"公司前景好,发展空间大,福利待遇好","年底双薪, 绩效奖金, 带薪年假, 交通补助",福田区,信息安全,,开发|测试|运维类,后端开发,
深圳佑驾创新科技有限公司,MINIEYE,Python 客户端开发工程师,1-3年,本科,全职,15k-30k,深圳,A轮,"硬件,其他","创新产品,牛人密集,从0到1,项目奖金","无人驾驶, 国际标准, 车厂合作, 海归团队",南山区,客户端,"大冲, 科技园",开发|测试|运维类,后端开发,客户端
深圳呗佬科技有限公司,Bello,python开发工程师,3-5年,不限,全职,15k-30k,深圳,A轮,"企业服务,人工智能",不打卡、发展空间大,,南山区,后端,"南油, 科技园",开发|测试|运维类,后端开发,后端
腾讯科技（深圳）有限公司,腾讯,监控系统开发工程师-Python&amp;Go,3-5年,本科,全职,16k-30k,深圳,上市公司,社交,发展前景,"免费班车, 成长空间, 年度旅游, 岗位晋升",南山区,"移动互联网, 企业服务, 后端, Golang, Python, 软件开发","科技园, 南头",开发|测试|运维类,后端开发,"后端, Golang, Python, 软件开发"
